condition,condition_label,N,MT_single,TPe_single,ER_single,MT_included,TPe_included,MT_omission_reason,TPe_omission_reason
width_wide,Wide-width A1000 W50 ID20 / C1,98,0.709,29.723973882188236,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,99,0.882,38.88089531333688,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,100,,,100.0,False,False,not_performance_trial,not_performance_trial
width_wide,Wide-width A1000 W50 ID20 / C1,101,0.812,28.539215764971246,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,102,0.786,74.75077846189625,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,103,0.968,12.623121160901624,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,104,0.724,13.424647492988159,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,105,0.725,39.54762573134477,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,106,1.123,18.589774536345754,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,107,1.131,35.79786642214096,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,108,0.835,62.0699777443637,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,109,0.771,82.86700718274996,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,110,0.697,39.98858465235805,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,111,0.88,16.142084304443753,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,112,0.832,64.40227897947271,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,113,0.882,31.023173447349258,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,114,0.81,27.27883378707437,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,115,0.775,28.20458595220168,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,116,0.764,20.19828330260279,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,117,0.737,41.083537634466886,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,118,0.73,33.22134312165829,100.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,119,1.005,39.48025615778398,0.0,True,True,included,included
width_wide,Wide-width A1000 W50 ID20 / C1,120,,,100.0,False,False,not_performance_trial,not_performance_trial
width_wide,Wide-width A1000 W50 ID20 / C1,121,,,100.0,False,False,mt_outlier,mt_outlier
