global_N,MT_norm,We_norm,Ae_norm,TPe_norm
188,0.35,0.023435863129845188,0.13378038020450686,0.3434045050665573
189,0.2916666666666667,0.020606203012713566,0.09912661012345962,0.401529002390883
190,0.29999999999999993,0.019477422449802002,0.09923794544352262,0.40747959577973314
191,0.2795454545454546,0.030782614330825058,0.10889897553950273,0.3241234395906057
192,0.3325757575757576,0.03871327794397537,0.13910081711902608,0.25491584381820254
193,0.2893939393939394,0.02928328511502273,0.03944834413589326,0.30771389978775004
194,0.37424242424242427,0.055808712065425585,0.06715743060108775,0.1653870635275924
195,0.27803030303030307,0.052425237138409124,0.03429713967846567,0.20420768243923765
196,0.3424242424242424,0.058344375268350866,0.10920872524071173,0.17616492072298018
197,0.27803030303030307,0.06667392086832893,0.08215527215789702,0.17488213725869195
198,,,,
199,0.28484848484848485,0.05277627497013367,0.05156773913652388,0.20358601550757693
200,0.3886363636363637,0.04516675605195044,0.04561955781267512,0.1872952045082371
201,0.6083333333333334,0.08827410571663864,0.13851291302951668,0.07979872788310911
202,0.3318181818181818,0.1400903070295941,0.11998619495444514,0.07888071157505441
203,0.2787878787878788,0.12849776877865302,0.0861488093673542,0.09406320086000768
204,,,,
205,0.14242424242424243,0.04154345542969562,0.0853250235077965,0.3589633626687223
206,,,,
207,,,,
208,0.14545454545454545,0.061234685553345165,0.0932432931912463,0.264609631001946
209,,,,
210,,,,
211,,,,
212,,,,
213,0.1810606060606061,0.020423384522118906,0.07654640774280953,0.5083186068312459
214,0.23863636363636362,0.15757919144529103,0.24348014238830476,0.09754467370763273
215,0.15151515151515152,0.05538378318672271,0.08416491579114414,0.27990443184686126
216,,,,
217,0.1954545454545455,0.051524138030571424,0.09932334482914697,0.2672839096149431
218,0.11893939393939396,0.07067909810659354,0.06442327882894514,0.24720920138646604
219,0.09015151515151515,0.007479700601821619,0.061844794066673356,1.0
220,0.2545454545454546,0.03505425279480087,0.07715906147829495,0.30383326738396305
221,,,,
222,,,,
223,,,,
224,,,,
225,0.33106060606060606,0.035837173238088556,0.09886943559543182,0.2606877552568699
226,0.15454545454545454,0.06174537202725969,0.06818938121615935,0.250109812518417
227,0.23484848484848483,0.09258884010213396,0.15122975422304855,0.15336872202576102
228,0.2893939393939394,0.04227622325965334,0.057562814975256574,0.24136864667545402
229,0.17272727272727276,0.02141195393368255,0.0939520608960737,0.5137903524750667
230,0.4128787878787878,0.057827624811729754,0.0762797885698725,0.15109527420491908
231,0.13636363636363635,0.02765022194974933,0.13168736005958712,0.5032881988413868
232,,,,
233,,,,
234,0.019696969696969713,0.06358624405166413,0.1418984536519814,0.41601229744907803
235,,,,
236,,,,
237,0.014393939393939407,0.0496330007070432,0.17298472657770603,0.531590309139004
238,0.0007575757575757582,0.07056473762283492,0.10342117052316892,0.40167751282929254
239,0.034090909090909116,0.029176035067436858,0.07431765689166367,0.6530177691238935
240,,,,
241,0.0,0.04699723038776675,0.11074065175113071,0.5602047935700761
242,0.09393939393939393,0.08328074651832836,0.11487313788482943,0.24369080097884735
243,0.009848484848484856,0.0543315362309058,0.15076270412961418,0.4962953226553335
244,,,,
245,,,,
246,0.3962121212121211,0.6135783286637208,0.5893769846198834,0.013431664624400324
247,0.1810606060606061,0.0736719163742448,0.14091781669129017,0.21399469259392417
248,0.1606060606060606,0.09213900702877187,0.13790157731971955,0.1848934939206973
249,0.13787878787878788,0.09967156600009075,0.15978471231327676,0.18751347252543435
250,,,,
251,0.3992424242424242,0.150576882887579,0.16265620189359328,0.06613229148219338
252,0.22878787878787876,0.052042829758960435,0.12441293651319225,0.2500139745102081
253,0.2121212121212121,0.050575042390595,0.07653452358035978,0.25473823529892936
254,,,,
255,,,,
256,0.20606060606060603,0.0426756684057148,0.08218748480086552,0.29627612635742423
257,0.19469696969696973,0.06656662148668055,0.05226896431704464,0.2073867790373864
258,,,,
259,0.2333333333333333,0.18754271919646995,0.23510820881765804,0.08138757313831844
260,,,,
261,,,,
262,0.2643939393939394,0.12815785019641182,0.15588446508115342,0.10456499427032817
263,,,,
264,0.10303030303030303,0.08502326945139183,0.06615478589119665,0.22176411098604396
265,0.26742424242424245,0.20128658023170656,0.15349283895793822,0.0634664369149771
266,0.1863636363636364,0.0651282986076431,0.1536211699030436,0.23720381378832994
267,0.22348484848484845,0.09859476416147342,0.16788618974623515,0.15096699497832078
268,0.24318181818181817,0.33227334498942096,0.360561025787172,0.04516456811122125
269,0.28181818181818186,0.03840367748766358,0.1268997279909543,0.2808368636241831
270,0.41969696969696973,0.18290185666508865,0.21883795208873566,0.053702988502949814
271,,,,
272,0.25681818181818183,0.07848636898029038,0.09602147376135656,0.16089030185059303
273,,,,
274,0.2265151515151515,0.13189773296229257,0.1634964668846903,0.11229912618273347
275,,,,
